Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2000-01-31,1909315D IN Equity,MM IN Equity,MKTA IN Equity,SBIN IN Equity,LOG IN Equity,LICHF IN Equity,LIIL IN Equity,LKEF IN Equity,LKI IN Equity,LLL IN Equity,LML IN Equity,MEFO IN Equity,METROHL IN Equity,MGC IN Equity,MDA IN Equity,OFSS IN Equity,OGL IN Equity,OIL IN Equity,RESP IN Equity,RECL IN Equity
2000-02-29,NIRL IN Equity,LKEF IN Equity,LOK IN Equity,MBI IN Equity,RELI IN Equity,MAXF IN Equity,KWALITY IN Equity,MKE IN Equity,RIIL IN Equity,NIRMA IN Equity,LICHF IN Equity,RCF IN Equity,MAN IN Equity,OIL IN Equity,MIRC IN Equity,RGBP IN Equity,MGC IN Equity,MHSC IN Equity,MAST IN Equity,RILP IN Equity
2000-03-31,MCHM IN Equity,RIIL IN Equity,MINK IN Equity,MJS IN Equity,MGC IN Equity,NIRMA IN Equity,NEST IN Equity,MAN IN Equity,MHS IN Equity,LKI IN Equity,MAST IN Equity,1909315D IN Equity,RIL IN Equity,MEFO IN Equity,RISL IN Equity,KWALITY IN Equity,NELI IN Equity,NILK IN Equity,MKE IN Equity,MAXF IN Equity
2000-04-28,LKEF IN Equity,MHS IN Equity,RIL IN Equity,RELI IN Equity,NILK IN Equity,MCHM IN Equity,RGBP IN Equity,MINK IN Equity,LMW IN Equity,MI IN Equity,SBIN IN Equity,MIRC IN Equity,LIIL IN Equity,MEFO IN Equity,RISL IN Equity,1909315D IN Equity,KWALITY IN Equity,NIIT IN Equity,NFCL IN Equity,MAXF IN Equity
2000-05-31,REIA IN Equity,KWALITY IN Equity,RCF IN Equity,MDR IN Equity,NEST IN Equity,MINK IN Equity,MJS IN Equity,1909315D IN Equity,RELI IN Equity,LPC IN Equity,MAN IN Equity,MBI IN Equity,LICHF IN Equity,LML IN Equity,MHS IN Equity,MEFO IN Equity,RISL IN Equity,NELI IN Equity,RIL IN Equity,MI IN Equity
2000-06-30,MKE IN Equity,NELCO IN Equity,HWA IN Equity,IVRC IN Equity,ADE IN Equity,HMFC IN Equity,RGBP IN Equity,ADCIC IN Equity,CTE IN Equity,MPHL IN Equity,NRBBR IN Equity,UB IN Equity,CYL IN Equity,CBOP IN Equity,NELI IN Equity,KKC IN Equity,TEIN IN Equity,ENGR IN Equity,SNDB IN Equity,IOCL IN Equity
2000-07-31,ESAB IN Equity,NCS IN Equity,AXSB IN Equity,ESOIL IN Equity,NLL IN Equity,BDE IN Equity,ADCIC IN Equity,WYH IN Equity,GAIL IN Equity,RGBP IN Equity,PRMC IN Equity,KOPD IN Equity,SSOF IN Equity,WHIRL IN Equity,3M IN Equity,MINK IN Equity,ENGR IN Equity,IPCA IN Equity,KKC IN Equity,LML IN Equity
2000-08-31,PJC IN Equity,UB IN Equity,RNSP IN Equity,DMCT IN Equity,GSCL IN Equity,ZSS IN Equity,KJC IN Equity,BLD IN Equity,GESCO IN Equity,ELBE IN Equity,SJET IN Equity,BIRCB IN Equity,PKPL IN Equity,ALBC IN Equity,HKCI IN Equity,ASEL IN Equity,ADF IN Equity,NFCL IN Equity,ZNDU IN Equity,BDE IN Equity
2000-09-29,SJET IN Equity,ALFA IN Equity,SXT IN Equity,ADF IN Equity,NELCO IN Equity,SSOF IN Equity,NOCIL IN Equity,MRZI IN Equity,ABNL IN Equity,BDE IN Equity,BOS IN Equity,AGG IN Equity,ZNDU IN Equity,ONT IN Equity,ADE IN Equity,GNP IN Equity,KLGS IN Equity,SUNEC IN Equity,ZSS IN Equity,MLIFE IN Equity
2000-10-31,MLIFE IN Equity,ALSF IN Equity,SJET IN Equity,CHOLAHLD IN Equity,WYH IN Equity,TNNP IN Equity,ESAB IN Equity,JSTL IN Equity,KSI IN Equity,SCI IN Equity,ADE IN Equity,CGPOWER IN Equity,ABNL IN Equity,TTCH IN Equity,GRHF IN Equity,ORCP IN Equity,AXSB IN Equity,MRF IN Equity,TTAN IN Equity,BOOT IN Equity
2000-11-30,VEDL IN Equity,FNXP IN Equity,NOCIL IN Equity,GEPIL IN Equity,ADF IN Equity,TEIN IN Equity,KSI IN Equity,JPO IN Equity,SCI IN Equity,HZ IN Equity,ARVND IN Equity,KJC IN Equity,SLT IN Equity,MAXF IN Equity,BEML IN Equity,ITI IN Equity,CEAT IN Equity,TC IN Equity,LML IN Equity,KOPD IN Equity
2000-12-29,JSAW IN Equity,UFLX IN Equity,CMC IN Equity,TEIN IN Equity,ESCORTS IN Equity,HZ IN Equity,AMRJ IN Equity,ICEM IN Equity,NOCIL IN Equity,ALBC IN Equity,ATCP IN Equity,JPO IN Equity,BATA IN Equity,MRF IN Equity,KOP IN Equity,SEAM IN Equity,FLFD IN Equity,MTNL IN Equity,KSI IN Equity,NELI IN Equity
